TripID,MMSI,MeanSOG,VesselName,IMO,CallSign,VesselType,Length,Width,Draft,Cargo,DepTime,ArrTime,DepLat,DepLon,ArrLat,ArrLon,DepCountry,DepCity,ArrCountry,ArrCity,Duration
1169,338210856,0.00851063829787234,CAREFREE,,,,13.41,,,,2017-01-01 00:01:20,2017-01-01 02:37:18,48.53773,-123.0147,48.53773,-123.01472,US,Friday Harbor,US,Friday Harbor,0 days 02:35:58
1170,367330510,1.705797101449274,PATRICIA ANN,IMO9507879,WDE2845,1025.0,23.8,10.4,,52.0,2017-01-01 00:00:06,2017-01-01 02:40:19,37.82208,-122.31200000000001,37.79248,-122.29874,US,Emeryville,US,Oakland,0 days 02:40:13
1171,636015123,0.22439024390243886,APHRODITE L,IMO9487615,A8YS7,1004.0,229.03,32.26,14.5,79.0,2017-01-01 00:01:38,2017-01-01 02:43:34,49.02546,-123.66749,49.02128,-123.66506,CA,Ladysmith,CA,Ladysmith,0 days 02:41:56
1172,338227582,0.002325581395348837,OCEAN WARRIOR,,,,,,,,2017-01-01 00:02:33,2017-01-01 02:34:29,36.60244,-121.8899,36.60314,-121.88986,US,Monterey,US,Monterey,0 days 02:31:56
1173,367385550,0.009523809523809523,COHO,,WDE6838,1019.0,17.68,5.2,,,2017-01-01 00:01:09,2017-01-01 02:40:07,47.64586,-122.31184,47.64587,-122.31184,US,Seattle,US,Seattle,0 days 02:38:58
1174,366896490,0.021678321678321687,AMERICAN LADY,IMO7513006,WDB4259,1001.0,27.64,8.28,,0.0,2017-01-01 00:00:08,2017-01-01 02:44:26,47.6593,-122.38159,47.6593,-122.38159,US,Seattle,US,Seattle,0 days 02:44:18
1175,367692520,0.0061224489795918356,NEVER SAY NEVER,,WDI3845,1019.0,22.77,,,,2017-01-01 00:00:37,2017-01-01 02:39:37,47.64305,-122.34199,47.64304,-122.34197,US,Seattle,US,Seattle,0 days 02:39:00
1176,367510160,0.007692307692307694,VERTIGO,,WDF9916,1019.0,,,,,2017-01-01 00:00:26,2017-01-01 02:36:24,47.62915,-122.38935,47.62914,-122.38933,US,Seattle,US,Seattle,0 days 02:35:58
1177,367501390,0.0666666666666667,DESTINY,,WDF9061,1019.0,17.16,5.2,,,2017-01-01 00:01:05,2017-01-01 02:43:03,46.17259,-123.75282,46.1726,-123.75281,US,Astoria,US,Astoria,0 days 02:41:58
1178,367463310,0.006338028169014085,ZORRO,,WDF5447,1019.0,20.73,6.2,,37.0,2017-01-01 00:00:01,2017-01-01 02:41:30,47.66746,-122.39327,47.66745,-122.39324,US,Seattle,US,Seattle,0 days 02:41:29
1179,316033071,0.03442622950819673,DAVID J,,,,,,,,2017-01-01 00:01:17,2017-01-01 02:40:15,49.16849000000001,-123.93245,49.16851,-123.93244,CA,Nanaimo,CA,Nanaimo,0 days 02:38:58
1180,316022036,0.0025423728813559325,QUADRANT WARRIOR,,,1025.0,11.73,4.63,0.9,,2017-01-01 00:01:55,2017-01-01 02:39:33,49.22226,-122.83957,49.22228,-122.83957,CA,Port Moody,CA,Port Moody,0 days 02:37:38
1181,369580000,0.05384615384615387,SOUND RELIANCE,IMO9277369,WXAE,1025.0,38.71,12.8,5.8,31.0,2017-01-01 00:02:11,2017-01-01 02:38:11,47.59068,-122.34592,47.59069,-122.34591,US,Seattle,US,Seattle,0 days 02:36:00
1182,367516470,0.014285714285714287,OREGON ESCORT,IMO9153329,WDG2521,1025.0,33.5,12.16,4.4,,2017-01-01 00:01:19,2017-01-01 02:40:20,43.37206,-124.21039,43.37211,-124.21037,US,Coos Bay,US,Coos Bay,0 days 02:39:01
1183,338183533,0.005,KEONI,,,1013.0,14.45,,,,2017-01-01 00:01:55,2017-01-01 02:46:51,48.6538,-123.39398,48.65381,-123.39397,CA,North Saanich,CA,North Saanich,0 days 02:44:56
1184,338107526,0.008333333333333333,BLUE EYES,,,1019.0,10.64,,,,2017-01-01 00:00:18,2017-01-01 02:39:17,38.03473,-121.88271,38.03471,-121.88271,US,Pittsburg,US,Pittsburg,0 days 02:38:59
1185,538006575,0.02549019607843137,CHEMBULK NEW ORLEANS,IMO9273387,V7OQ6,1024.0,174.38,27.73,10.6,80.0,2017-01-01 00:01:39,2017-01-01 02:37:36,46.12093,-122.98585,46.1214,-122.9853,US,West Longview,US,West Longview,0 days 02:35:57
1186,367683290,0.011764705882352941,DREAM ON,,WDI2938,1019.0,19.78,,,,2017-01-01 00:03:23,2017-01-01 02:36:19,48.00256,-122.22271,48.0026,-122.22272,US,Everett,US,Everett,0 days 02:32:56
1187,367526320,0.03529411764705883,BIG SKY,,WDG3464,1019.0,21.73,,,,2017-01-01 00:00:23,2017-01-01 02:39:21,47.30445,-122.50948,47.30424,-122.50968,US,Fircrest,US,Fircrest,0 days 02:38:58
1188,367299350,0.0,NEENAH,,WDD8531,1019.0,10.06,3.4,,,2017-01-01 00:00:36,2017-01-01 02:36:35,47.64539,-122.31016,47.6454,-122.31015,US,Seattle,US,Seattle,0 days 02:35:59
1189,352133000,0.0,GLOBAL GARLAND,IMO9378838,3FLY7,1004.0,175.53,29.4,9.6,,2017-01-01 00:02:17,2017-01-01 02:32:15,46.10062,-122.94235,46.10063,-122.94235,US,Rainier,US,Rainier,0 days 02:29:58
1190,367521020,0.01818181818181818,PRES DU SOLEIL,,WDG2959,1019.0,22.31,,,,2017-01-01 00:02:32,2017-01-01 02:35:30,48.42519,-123.37169,48.42522,-123.37172,CA,Victoria,CA,Victoria,0 days 02:32:58
1191,367002210,4.753125,RACHELE BRUSCO,IMO7101827,WDC3067,1025.0,28.96,8.69,3.9,,2017-01-01 00:02:22,2017-01-01 02:06:50,46.96299000000001,-123.85281,46.92093,-124.12209,US,Aberdeen,US,Westport,0 days 02:04:28
1192,338134000,0.41568627450980383,NANCY PETERKIN,IMO9758777,WDI2121,1025.0,41.45,13.41,,,2017-01-01 00:02:50,2017-01-01 02:38:49,48.5265,-122.56614,48.52685,-122.5652,US,Anacortes,US,Anacortes,0 days 02:35:59
1193,367734870,0.0,CHARLEVOIX,,WDI8056,1019.0,14.72,4.8,,,2017-01-01 00:02:51,2017-01-01 02:32:48,47.6289,-122.39204,47.6289,-122.39204,US,Seattle,US,Seattle,0 days 02:29:57
1194,636013854,0.008695652173913044,MARCO,IMO9528574,A8PX9,1004.0,224.9,32.26,14.4,70.0,2017-01-01 00:00:30,2017-01-01 02:42:29,49.30452,-123.06714,49.30455,-123.06744,CA,North Vancouver,CA,North Vancouver,0 days 02:41:59
1195,366904590,0.06666666666666668,ALYSSA ANN,,WDH9485,1001.0,13.38,4.3,,,2017-01-01 00:02:21,2017-01-01 00:47:14,46.19865,-123.75975,46.19868,-123.75976,US,Astoria,US,Astoria,0 days 00:44:53
1196,338215875,0.022916666666666655,ANAIS,,,1019.0,,,,,2017-01-01 00:00:39,2017-01-01 02:42:38,45.60777,-122.66011,45.60777,-122.66009,US,Vancouver,US,Vancouver,0 days 02:41:59
1197,367580280,0.0032258064516129032,INTERLUDE,,WDG8705,1019.0,14.6,,,,2017-01-01 00:00:31,2017-01-01 02:30:29,48.51353,-122.6046,48.51354,-122.60459,US,Anacortes,US,Anacortes,0 days 02:29:58
1198,367633280,0.0,AZZURRE,,WDH5967,1019.0,20.6,,,,2017-01-01 00:02:52,2017-01-01 02:11:47,48.66989,-123.40728,48.66989,-123.40728,CA,North Saanich,CA,North Saanich,0 days 02:08:55
1199,367635730,0.0,SEQUEL,,WDH6220,1019.0,9.51,,,,2017-01-01 00:01:29,2017-01-01 02:37:27,47.62911,-122.39413,47.62911,-122.39412,US,Seattle,US,Seattle,0 days 02:35:58
1200,367515660,0.016326530612244896,INNISFREE,,WDG2438,1019.0,22.04,,,,2017-01-01 00:01:06,2017-01-01 02:25:06,38.03615,-121.88279,38.03616,-121.8828,US,Pittsburg,US,Pittsburg,0 days 02:24:00
1201,316018495,0.0,BESSOFEN,,,1019.0,,,,,2017-01-01 00:01:55,2017-01-01 02:22:50,49.1142,-123.07563,49.11423,-123.07566,CA,Ladner,CA,Ladner,0 days 02:20:55
1202,316004867,0.0023809523809523807,BOLD PERFORMANCE,IMO7902207,CFL5046,1001.0,24.31,,,,2017-01-01 00:01:56,2017-01-01 02:34:53,49.29842,-123.02963,49.29845,-123.02958,CA,North Vancouver,CA,North Vancouver,0 days 02:32:57
1203,338131747,0.007843137254901959,JACK TAR II,,,1019.0,15.24,,,,2017-01-01 00:01:00,2017-01-01 02:36:56,47.62832,-122.39288,47.62832,-122.39286,US,Seattle,US,Seattle,0 days 02:35:56
1204,367597910,0.014285714285714284,PATRIOT,,WDH2468,1019.0,16.76,,,,2017-01-01 00:01:39,2017-01-01 02:28:39,47.64462,-122.34439,47.64461,-122.34437,US,Seattle,US,Seattle,0 days 02:27:00
1205,367646420,0.0,JUNOVIA,,WDH7259,1019.0,12.92,,,,2017-01-01 00:02:34,2017-01-01 02:32:34,45.86335,-122.79565,45.86336,-122.79563,US,Saint Helens,US,Saint Helens,0 days 02:30:00
1206,538006507,7.659398496240605,KHASAB SILVER,IMO9718832,V7NT9,1024.0,,,,,2017-01-01 00:00:09,2017-01-01 02:44:19,39.77258,-125.33753,40.10257,-125.49664,US,Ferndale,US,Ferndale,0 days 02:44:10
1207,367721260,0.013043478260869565,CLARITY,,WDI6692,1019.0,23.41,6.1,,,2017-01-01 00:04:35,2017-01-01 02:37:32,48.53746,-123.01387,48.53746,-123.01384,US,Friday Harbor,US,Friday Harbor,0 days 02:32:57
1208,338119204,0.026000000000000002,STRAIT SHOT,,,1019.0,14.94,,,,2017-01-01 00:00:52,2017-01-01 02:33:50,48.50402,-122.60299,48.504,-122.60296,US,Anacortes,US,Anacortes,0 days 02:32:58
1209,367466760,0.004081632653061225,MARINA,IMO8939893,WDF5745,1001.0,27.25,7.32,,30.0,2017-01-01 00:04:26,2017-01-01 02:40:12,48.51291,-122.64457,48.51292,-122.64455,US,Anacortes,US,Anacortes,0 days 02:35:46
1210,367513170,0.005882352941176471,LASSEN,IMO8652964,WDG2199,1025.0,20.12,7.4,,,2017-01-01 00:04:44,2017-01-01 02:46:49,45.64345,-122.75287,45.64346,-122.75283,US,Lake Shore,US,Lake Shore,0 days 02:42:05
1211,566719000,0.05000000000000002,IKAN BILIS,IMO9279525,9V7556,1004.0,225.0,32.26,14.0,,2017-01-01 00:01:21,2017-01-01 02:27:21,46.20525,-123.81237,46.20517,-123.81242,US,Astoria,US,Astoria,0 days 02:26:00
1212,367540040,0.0,EXCELLENCE,,WDG4781,1012.0,33.95,6.8,,37.0,2017-01-01 00:02:47,2017-01-01 02:41:45,47.63025,-122.33214,47.63023,-122.33213,US,Seattle,US,Seattle,0 days 02:38:58
1213,367013020,0.1037037037037037,SPIRIT OF SEATTLE,,WTK6831,1012.0,29.54,0.0,,60.0,2017-01-01 00:00:21,2017-01-01 02:40:33,47.6048,-122.34073,47.6048,-122.34069,US,Seattle,US,Seattle,0 days 02:40:12
1214,366869780,0.0014084507042253526,GULFWINDS,IMO7944889,WDH8834,0.0,34.0,5.0,0.0,0.0,2017-01-01 00:01:10,2017-01-01 02:40:59,47.66317,-122.38903,47.66319,-122.38907,US,Seattle,US,Seattle,0 days 02:39:49
1215,367059190,0.0,BLUE DOLPHIN,,WDI6964,1001.0,14.63,4.7,,,2017-01-01 00:00:44,2017-01-01 02:33:43,40.80762,-124.16247,40.8076,-124.16248,US,Eureka,US,Eureka,0 days 02:32:59
1216,366982280,0.004166666666666668,PACIFIC KNIGHT,IMO8016378,WCY6660,1025.0,23.53,8.08,,,2017-01-01 00:02:21,2017-01-01 02:38:19,47.63144000000001,-122.37961,47.63154,-122.37954,US,Seattle,US,Seattle,0 days 02:35:58
1217,211378110,0.32199999999999995,HANJIN VIENNA,IMO9215634,DIBZ,79.0,278.0,40.0,9.1,79.0,2017-01-01 00:02:32,2017-01-01 02:42:41,48.33803,-123.36149,48.33847,-123.35792,CA,Victoria,CA,Victoria,0 days 02:40:09
1218,367561610,0.00625,GET SET GO,,WDG6876,,8.23,,,,2017-01-01 00:02:49,2017-01-01 02:35:51,45.48103,-122.87232,45.48101,-122.87225,US,Aloha,US,Aloha,0 days 02:33:02
1219,338068956,0.03921568627450981,ADVENTURE,,,1019.0,13.81,,,,2017-01-01 00:00:04,2017-01-01 02:42:04,37.97686,-121.3781,37.97675,-121.37805,US,Country Club,US,Country Club,0 days 02:42:00
1220,367490960,0.03478260869565218,GRACE,,WDJ5815,1019.0,13.01,4.2,,,2017-01-01 00:00:21,2017-01-01 02:39:24,37.86505,-122.31476,37.86507,-122.31478,US,Albany,US,Albany,0 days 02:39:03
1221,367334040,0.006428571428571429,JOURNEY,,WDE3099,1019.0,,,,0.0,2017-01-01 00:00:05,2017-01-01 02:42:44,48.67013,-123.40583,48.67014,-123.40582,CA,North Saanich,CA,North Saanich,0 days 02:42:39
1222,316005416,0.0,JOSE NARVAEZ,IMO7003441,CY9519,1025.0,26.52,7.8,3.5,52.0,2017-01-01 00:00:28,2017-01-01 02:45:35,49.15519000000001,-123.00664,49.1552,-123.00663,CA,Ladner,CA,Ladner,0 days 02:45:07
1223,367146590,0.004081632653061225,FORERUNNER,,WDJ4380,1012.0,15.24,5.0,,,2017-01-01 00:01:16,2017-01-01 02:46:16,46.19059,-123.74674,46.19058,-123.74675,US,Astoria,US,Astoria,0 days 02:45:00
1224,538006535,0.024528301886792454,CAMILA,IMO9701231,V7DV5,1004.0,179.95,,,,2017-01-01 00:04:58,2017-01-01 02:42:56,48.12526,-123.44272,48.12524000000001,-123.44271,US,Port Angeles,US,Port Angeles,0 days 02:37:58
1225,367320030,0.018000000000000002,NORTHERN LIGHT,,WDE2070,1013.0,20.97,5.5,,,2017-01-01 00:02:33,2017-01-01 02:36:58,47.63913,-122.33939,47.63911,-122.33938,US,Seattle,US,Seattle,0 days 02:34:25
1226,367480690,0.003846153846153847,SEGUE,,WDF7063,1019.0,22.28,5.2,,37.0,2017-01-01 00:00:55,2017-01-01 02:36:53,47.62909000000001,-122.33317,47.62909000000001,-122.33318,US,Seattle,US,Seattle,0 days 02:35:58
1227,316011515,0.0018867924528301887,HMCS WOLF,,CGBP,1018.0,,,,35.0,2017-01-01 00:00:12,2017-01-01 02:42:16,48.43205,-123.4308,48.4321,-123.4307,CA,Colwood,CA,Colwood,0 days 02:42:04
1228,355323000,11.443859649122812,PACIFIC SPIKE,IMO9681998,3EEX6,1004.0,189.91,28.2,8.0,,2017-01-01 00:04:22,2017-01-01 02:36:31,37.53624,-124.83583,37.53677,-124.23059,US,Sea Ranch,US,Sea Ranch,0 days 02:32:09
1229,316012774,10.471428571428572,ISLAND SKY,IMO9370458,CFN5148,1012.0,102.45,27.0,4.8,,2017-01-01 00:01:52,2017-01-01 02:13:55,49.7753,-124.12602,49.7806,-124.0903,CA,Powell River,CA,Sechelt,0 days 02:12:03
1230,367320010,0.028571428571428574,,,,,,,,,2017-01-01 00:01:35,2017-01-01 02:31:33,43.34563,-124.32142,43.3456,-124.32143,US,Barview,US,Barview,0 days 02:29:58
1231,319036500,0.10204081632653064,ZENITH,IMO1011458,ZGBR4,1019.0,40.5,10.7,1.8,37.0,2017-01-01 00:00:59,2017-01-01 02:39:58,48.42558,-123.37178,48.42558,-123.37174,CA,Victoria,CA,Victoria,0 days 02:38:59
1232,316028581,0.013333333333333334,BOOMDOGGLE,,CFN6726,,,,,,2017-01-01 00:05:23,2017-01-01 02:32:21,49.27092,-123.13753,49.27093,-123.13752,CA,West End,CA,West End,0 days 02:26:58
1233,367373730,0.03877551020408164,PACIFIC CLOUD,,WDE5951,1001.0,15.85,4.8,,,2017-01-01 00:02:57,2017-01-01 02:41:57,42.04721,-124.26725,42.0472,-124.26723,US,Harbor,US,Harbor,0 days 02:39:00
1234,367708440,0.0020833333333333333,SAKANA,,WDI5428,1019.0,10.06,,,,2017-01-01 00:02:37,2017-01-01 02:35:34,47.63006,-122.39356,47.63006,-122.39357,US,Seattle,US,Seattle,0 days 02:32:57
1235,367608860,4.982352941176473,WSF TOKITAE,IMO9720160,WDH3588,1012.0,110.4,25.35,5.0,,2017-01-01 00:00:04,2017-01-01 02:35:57,47.97459,-122.34908,47.95479,-122.32054,US,Mukilteo,US,Mukilteo,0 days 02:35:53
1236,316030453,0.006666666666666667,CAFE DEL MAR,,,,,,,,2017-01-01 00:02:01,2017-01-01 02:28:59,49.29185,-123.12588999999998,49.29186,-123.1259,CA,West End,CA,West End,0 days 02:26:58
1237,566319000,0.041176470588235314,APL GWANGYANG,IMO9461879,9V9374,1004.0,349.0,45.6,15.5,74.0,2017-01-01 00:00:06,2017-01-01 02:42:07,49.01964,-123.1509,49.01964,-123.1509,US,Point Roberts,US,Point Roberts,0 days 02:42:01
1238,477444200,0.06808510638297875,THERESA HAINAN,IMO9607124,VRLJ9,1004.0,229.0,32.3,14.4,70.0,2017-01-01 00:01:01,2017-01-01 02:24:59,49.30211,-123.21796,49.30152,-123.21708,CA,West Vancouver,CA,West Vancouver,0 days 02:23:58
